Role,Email,Password,Name,School,Class
School Admin,admin.harmony.academy.of.music@school.edu,123456789,Harmony Admin,Harmony Academy of Music,N/A
School Admin,admin.melody.heights.school@school.edu,123456789,Melody Admin,Melody Heights School,N/A
School Admin,admin.rhythm.international.school@school.edu,123456789,Rhythm Admin,Rhythm International School,N/A
School Admin,admin.sargam.school.of.arts@school.edu,123456789,Sargam Admin,Sargam School of Arts,N/A
School Admin,admin.suron.ki.duniya.academy@school.edu,123456789,Suron Admin,Suron Ki Duniya Academy,N/A
School Admin,admin.nada.brahma.music.school@school.edu,123456789,Nada Admin,Nada Brahma Music School,N/A
School Admin,admin.veenavadini.school.of.fine.arts@school.edu,123456789,Veenavadini Admin,Veenavadini School of Fine Arts,N/A
School Admin,admin.tansen.school.of.classical.music@school.edu,123456789,Tansen Admin,Tansen School of Classical Music,N/A
School Admin,admin.bhairavi.international.school@school.edu,123456789,Bhairavi Admin,Bhairavi International School,N/A
School Admin,admin.raagmala.academy@school.edu,123456789,Raagmala Admin,Raagmala Academy,N/A
Judge,judge1@competeedu.com,123456789,Judge 1,N/A,N/A
Judge,judge2@competeedu.com,123456789,Judge 2,N/A,N/A
Judge,judge3@competeedu.com,123456789,Judge 3,N/A,N/A
Judge,judge4@competeedu.com,123456789,Judge 4,N/A,N/A
Judge,judge5@competeedu.com,123456789,Judge 5,N/A,N/A
Judge,judge6@competeedu.com,123456789,Judge 6,N/A,N/A
Judge,judge7@competeedu.com,123456789,Judge 7,N/A,N/A
Judge,judge8@competeedu.com,123456789,Judge 8,N/A,N/A
Judge,judge9@competeedu.com,123456789,Judge 9,N/A,N/A
Judge,judge10@competeedu.com,123456789,Judge 10,N/A,N/A
Judge,judge11@competeedu.com,123456789,Judge 11,N/A,N/A
Judge,judge12@competeedu.com,123456789,Judge 12,N/A,N/A
Judge,judge13@competeedu.com,123456789,Judge 13,N/A,N/A
Judge,judge14@competeedu.com,123456789,Judge 14,N/A,N/A
Judge,judge15@competeedu.com,123456789,Judge 15,N/A,N/A
Judge,judge16@competeedu.com,123456789,Judge 16,N/A,N/A
Judge,judge17@competeedu.com,123456789,Judge 17,N/A,N/A
Judge,judge18@competeedu.com,123456789,Judge 18,N/A,N/A
Judge,judge19@competeedu.com,123456789,Judge 19,N/A,N/A
Judge,judge20@competeedu.com,123456789,Judge 20,N/A,N/A
Teacher,harmony.academy.of.music.teacher1@school.edu,123456789,Teacher Class 1 (Harmony Academy of Music),Harmony Academy of Music,Class 1
Student,harmony.academy.of.music.class1.student1@school.edu,123456789,Student 1 Class 1 (Harmony Academy of Music),Harmony Academy of Music,Class 1
Student,harmony.academy.of.music.class1.student2@school.edu,123456789,Student 2 Class 1 (Harmony Academy of Music),Harmony Academy of Music,Class 1
Student,harmony.academy.of.music.class1.student3@school.edu,123456789,Student 3 Class 1 (Harmony Academy of Music),Harmony Academy of Music,Class 1
Student,harmony.academy.of.music.class1.student4@school.edu,123456789,Student 4 Class 1 (Harmony Academy of Music),Harmony Academy of Music,Class 1
Student,harmony.academy.of.music.class1.student5@school.edu,123456789,Student 5 Class 1 (Harmony Academy of Music),Harmony Academy of Music,Class 1
Teacher,harmony.academy.of.music.teacher2@school.edu,123456789,Teacher Class 2 (Harmony Academy of Music),Harmony Academy of Music,Class 2
Student,harmony.academy.of.music.class2.student1@school.edu,123456789,Student 1 Class 2 (Harmony Academy of Music),Harmony Academy of Music,Class 2
Student,harmony.academy.of.music.class2.student2@school.edu,123456789,Student 2 Class 2 (Harmony Academy of Music),Harmony Academy of Music,Class 2
Student,harmony.academy.of.music.class2.student3@school.edu,123456789,Student 3 Class 2 (Harmony Academy of Music),Harmony Academy of Music,Class 2
Student,harmony.academy.of.music.class2.student4@school.edu,123456789,Student 4 Class 2 (Harmony Academy of Music),Harmony Academy of Music,Class 2
Student,harmony.academy.of.music.class2.student5@school.edu,123456789,Student 5 Class 2 (Harmony Academy of Music),Harmony Academy of Music,Class 2
Teacher,harmony.academy.of.music.teacher3@school.edu,123456789,Teacher Class 3 (Harmony Academy of Music),Harmony Academy of Music,Class 3
Student,harmony.academy.of.music.class3.student1@school.edu,123456789,Student 1 Class 3 (Harmony Academy of Music),Harmony Academy of Music,Class 3
Student,harmony.academy.of.music.class3.student2@school.edu,123456789,Student 2 Class 3 (Harmony Academy of Music),Harmony Academy of Music,Class 3
Student,harmony.academy.of.music.class3.student3@school.edu,123456789,Student 3 Class 3 (Harmony Academy of Music),Harmony Academy of Music,Class 3
Student,harmony.academy.of.music.class3.student4@school.edu,123456789,Student 4 Class 3 (Harmony Academy of Music),Harmony Academy of Music,Class 3
Student,harmony.academy.of.music.class3.student5@school.edu,123456789,Student 5 Class 3 (Harmony Academy of Music),Harmony Academy of Music,Class 3
Teacher,harmony.academy.of.music.teacher4@school.edu,123456789,Teacher Class 4 (Harmony Academy of Music),Harmony Academy of Music,Class 4
Student,harmony.academy.of.music.class4.student1@school.edu,123456789,Student 1 Class 4 (Harmony Academy of Music),Harmony Academy of Music,Class 4
Student,harmony.academy.of.music.class4.student2@school.edu,123456789,Student 2 Class 4 (Harmony Academy of Music),Harmony Academy of Music,Class 4
Student,harmony.academy.of.music.class4.student3@school.edu,123456789,Student 3 Class 4 (Harmony Academy of Music),Harmony Academy of Music,Class 4
Student,harmony.academy.of.music.class4.student4@school.edu,123456789,Student 4 Class 4 (Harmony Academy of Music),Harmony Academy of Music,Class 4
Student,harmony.academy.of.music.class4.student5@school.edu,123456789,Student 5 Class 4 (Harmony Academy of Music),Harmony Academy of Music,Class 4
Teacher,harmony.academy.of.music.teacher5@school.edu,123456789,Teacher Class 5 (Harmony Academy of Music),Harmony Academy of Music,Class 5
Student,harmony.academy.of.music.class5.student1@school.edu,123456789,Student 1 Class 5 (Harmony Academy of Music),Harmony Academy of Music,Class 5
