Role,Name,Email,Password,School,Class/Section
School Admin,Harmony Admin,admin.harmony@school.edu,123456789,Harmony Academy of Music,N/A
School Admin,Melody Admin,admin.melody@school.edu,123456789,Melody Heights School,N/A
School Admin,Rhythm Admin,admin.rhythm@school.edu,123456789,Rhythm International School,N/A
School Admin,Sargam Admin,admin.sargam@school.edu,123456789,Sargam School of Arts,N/A
School Admin,Suron Admin,admin.suron@school.edu,123456789,Suron Ki Duniya Academy,N/A
School Admin,Nada Admin,admin.nada@school.edu,123456789,Nada Brahma Music School,N/A
School Admin,Veenavadini Admin,admin.veena@school.edu,123456789,Veenavadini School of Fine Arts,N/A
School Admin,Tansen Admin,admin.tansen@school.edu,123456789,Tansen School of Classical Music,N/A
School Admin,Bhairavi Admin,admin.bhairavi@school.edu,123456789,Bhairavi International School,N/A
School Admin,Raagmala Admin,admin.raagmala@school.edu,123456789,Raagmala Academy,N/A
Judge,Judge 1,judge1@competeedu.com,123456789,N/A,N/A
Judge,Judge 2,judge2@competeedu.com,123456789,N/A,N/A
Judge,Judge 3,judge3@competeedu.com,123456789,N/A,N/A
Judge,Judge 4,judge4@competeedu.com,123456789,N/A,N/A
Judge,Judge 5,judge5@competeedu.com,123456789,N/A,N/A
Judge,Judge 6,judge6@competeedu.com,123456789,N/A,N/A
Judge,Judge 7,judge7@competeedu.com,123456789,N/A,N/A
Judge,Judge 8,judge8@competeedu.com,123456789,N/A,N/A
Judge,Judge 9,judge9@competeedu.com,123456789,N/A,N/A
Judge,Judge 10,judge10@competeedu.com,123456789,N/A,N/A
Judge,Judge 11,judge11@competeedu.com,123456789,N/A,N/A
Judge,Judge 12,judge12@competeedu.com,123456789,N/A,N/A
Judge,Judge 13,judge13@competeedu.com,123456789,N/A,N/A
Judge,Judge 14,judge14@competeedu.com,123456789,N/A,N/A
Judge,Judge 15,judge15@competeedu.com,123456789,N/A,N/A
Judge,Judge 16,judge16@competeedu.com,123456789,N/A,N/A
Judge,Judge 17,judge17@competeedu.com,123456789,N/A,N/A
Judge,Judge 18,judge18@competeedu.com,123456789,N/A,N/A
Judge,Judge 19,judge19@competeedu.com,123456789,N/A,N/A
Judge,Judge 20,judge20@competeedu.com,123456789,N/A,N/A
Teacher,Teacher Class 1 (Harmony Academy of Music),harmony.academy.of.music.teacher1@school.edu,123456789,Harmony Academy of Music,Class 1
Teacher,Teacher Class 2 (Harmony Academy of Music),harmony.academy.of.music.teacher2@school.edu,123456789,Harmony Academy of Music,Class 2
Teacher,Teacher Class 1 (Melody Heights School),melody.heights.school.teacher1@school.edu,123456789,Melody Heights School,Class 1
Teacher,Teacher Class 2 (Melody Heights School),melody.heights.school.teacher2@school.edu,123456789,Melody Heights School,Class 2
Student,Student 1 Class 1 (Harmony Academy of Music),harmony.academy.of.music.class1.student1@school.edu,123456789,Harmony Academy of Music,Class 1
Student,Student 2 Class 1 (Harmony Academy of Music),harmony.academy.of.music.class1.student2@school.edu,123456789,Harmony Academy of Music,Class 1
Student,Student 1 Class 2 (Harmony Academy of Music),harmony.academy.of.music.class2.student1@school.edu,123456789,Harmony Academy of Music,Class 2
Student,Student 1 Class 1 (Melody Heights School),melody.heights.school.class1.student1@school.edu,123456789,Melody Heights School,Class 1
... [Truncated: A detailed summary of 630 accounts is available in the generated CSV file]
