Name,Email,Role,Status,School ID
"System Admin","admin@admin.com","super_admin","approved","N/A"
"Robert Wilson","robert@stxaviers.edu","teacher","approved","69a5ee5b0016cb561d87"
"Sarah Jenkins","sarah@stxaviers.edu","teacher","approved","69a5ee5b0016cb561d87"
"Michael Chen","m.chen@greenwood.edu","teacher","approved","69a5ee5b00170fd2a896"
"Alice Johnson","alice@student.com","student","approved","69a5ee5b0016cb561d87"
"Bob Smith","bob@student.com","student","approved","69a5ee5b0016cb561d87"
"Charlie Davis","charlie@student.com","student","approved","69a5ee5b0016cb561d87"
"Diana Prince","diana@student.com","student","approved","69a5ee5b00170fd2a896"
"Dr. Alistair Cook","alistair@judges.com","judge","approved","N/A"
"Professor Emma Stone","emma@judges.com","judge","approved","N/A"
"Robert Wilson","robert@stxaviers.edu","teacher","approved","69a5ee9400243b028d09"
"Sarah Jenkins","sarah@stxaviers.edu","teacher","approved","69a5ee9400243b028d09"
"Michael Chen","m.chen@greenwood.edu","teacher","approved","69a5ee9400244b77b43f"
"Alice Johnson","alice@student.com","student","approved","69a5ee9400243b028d09"
"Bob Smith","bob@student.com","student","approved","69a5ee9400243b028d09"
"Charlie Davis","charlie@student.com","student","approved","69a5ee9400243b028d09"
"Diana Prince","diana@student.com","student","approved","69a5ee9400244b77b43f"
"Dr. Alistair Cook","alistair@judges.com","judge","approved","N/A"
"Professor Emma Stone","emma@judges.com","judge","approved","N/A"
